onset	duration	event_type
1.4528639317	1.7113283041617808	type1_color5_cuep
9.003059864	3	type1_color5_searchp
13.0361950397	1.0	type3_color2_cuep
18.7865269184	3	type3_color2_searchp
22.8197278976	1.3593563908785256	type1_color3_cuep
28.936496973	3	type1_color3_searchp
33.036413908	1.4677992676220695	type3_color5_cuep
38.3532938957	3	type3_color5_searchp
42.3866379261	1.9952623149688795	type2_color5_cuep
50.2533938885	3	type2_color5_searchp
54.2865839005	1.847849797422291	type3_color5_cuep
59.3034598827	3	type3_color5_searchp
63.3367419243	1.0797751623277096	type2_color4_cuep
70.9202530384	3	type2_color4_searchp
74.9533789158	1.9952623149688795	type2_color3_cuep
80.1441278458	3	type2_color3_searchp
84.1868698597	1.0797751623277096	type3_color1_cuep
89.5537190437	3	type3_color1_searchp
93.5869419575	1.0797751623277096	type2_color1_cuep
101.1704509258	3	type2_color1_searchp
105.2871530056	1.0	type1_color1_cuep
109.1539969444	3	type1_color1_searchp
113.1871519089	1.3593563908785256	type3_color3_cuep
119.8039689064	3	type3_color3_searchp
123.8372440338	1.5848931924611136	type2_color2_cuep
130.7040960789	3	type2_color2_searchp
134.7373430729	1.847849797422291	type2_color4_cuep
140.8541109562	3	type2_color4_searchp
144.8873670101	1.1659144011798317	type3_color3_cuep
149.2042138577	3	type3_color3_searchp
153.2375049591	1.4677992676220695	type1_color4_cuep
158.9876630306	3	type1_color4_searchp
163.0209140778	1.2589254117941673	type2_color3_cuep
169.0209770203	3	type2_color3_searchp
173.1876518726	1.5848931924611136	type1_color1_cuep
177.5877699852	3	type1_color1_searchp
181.6211650372	1.1659144011798317	type3_color2_cuep
186.2712240219	3	type3_color2_searchp
190.3044350147	1.9952623149688795	type1_color5_cuep
195.7879898548	3	type1_color5_searchp
199.8212440014	1.5848931924611136	type2_color1_cuep
207.9213988781	3	type2_color1_searchp
211.9546630383	1.1659144011798317	type1_color2_cuep
215.6716630459	3	type1_color2_searchp
219.704736948	1.3593563908785256	type2_color2_cuep
226.9048190117	3	type2_color2_searchp
230.9380898476	1.7113283041617808	type1_color4_cuep
235.1882879734	3	type1_color4_searchp
239.2215709686	1.7113283041617808	type3_color4_cuep
244.8050329685	3	type3_color4_searchp
248.8381888866	1.847849797422291	type3_color1_cuep
253.5216879845	3	type3_color1_searchp
257.6050479412	1.2589254117941673	type3_color4_cuep
262.3218698502	3	type3_color4_searchp
266.3551409245	1.2589254117941673	type1_color2_cuep
270.1552598476	3	type1_color2_searchp
274.1885459423	1.4677992676220695	type1_color3_cuep
280.9554650784	3	type1_color3_searchp
285.0553190708	1.0	type2_color5_cuep
289.9053609371	3	type2_color5_searchp
