onset	duration	event_type
1.0879511833	1.1659144011798317	type3_color2_cuep
8.7548720837	3	type3_color2_searchp
12.7881300449	1.1659144011798317	type3_color5_cuep
17.1049220562	3	type3_color5_searchp
21.1382100582	1.5848931924611136	type1_color3_cuep
28.554926157	3	type1_color3_searchp
32.5882501602	1.9952623149688795	type2_color1_cuep
37.1385450363	3	type2_color1_searchp
41.1716651917	1.2589254117941673	type3_color4_cuep
47.2050521374	3	type3_color4_searchp
51.3050441742	1.0797751623277096	type3_color5_cuep
55.221914053	3	type3_color5_searchp
59.255092144	1.5848931924611136	type2_color1_cuep
66.688699007	3	type2_color1_searchp
70.7219061852	1.3593563908785256	type3_color4_cuep
78.5721271038	3	type3_color4_searchp
82.6053950787	1.847849797422291	type1_color4_cuep
89.7222120762	3	type1_color4_searchp
93.8054060936	1.7113283041617808	type2_color2_cuep
99.8055670261	3	type2_color2_searchp
103.8388810158	1.2589254117941673	type2_color5_cuep
108.9723460674	3	type2_color5_searchp
113.0054931641	1.7113283041617808	type1_color3_cuep
119.9726052284	3	type1_color3_searchp
124.0057110786	1.7113283041617808	type1_color2_cuep
128.8392140865	3	type1_color2_searchp
132.8723762035	1.4677992676220695	type1_color5_cuep
137.1891701221	3	type1_color5_searchp
141.222463131	1.9952623149688795	type2_color2_cuep
148.4894201756	3	type2_color2_searchp
152.5226790905	1.847849797422291	type2_color3_cuep
157.2061731815	3	type2_color3_searchp
161.2393221855	1.0797751623277096	type2_color4_cuep
165.8394391537	3	type2_color4_searchp
169.8727281094	1.847849797422291	type1_color5_cuep
174.2728741169	3	type1_color5_searchp
178.3061571121	1.3593563908785256	type1_color1_cuep
183.1229012012	3	type1_color1_searchp
187.2228350639	1.2589254117941673	type3_color1_cuep
194.3396530151	3	type3_color1_searchp
198.3729650974	1.0	type3_color3_cuep
204.1230401993	3	type3_color3_searchp
208.2229681015	1.0797751623277096	type3_color3_cuep
212.4398522377	3	type3_color3_searchp
216.4730541706	1.0	type2_color5_cuep
223.9732840061	3	type2_color5_searchp
228.0065422058	1.0	type2_color4_cuep
233.2900512218	3	type2_color4_searchp
237.3232820034	1.3593563908785256	type3_color1_cuep
242.1567561626	3	type3_color1_searchp
246.190030098	1.1659144011798317	type1_color4_cuep
251.6567971706	3	type1_color4_searchp
255.7567551136	1.9952623149688795	type2_color3_cuep
261.6067800522	3	type2_color3_searchp
265.6401791573	1.5848931924611136	type1_color1_cuep
271.9570031166	3	type1_color1_searchp
276.0402641296	1.4677992676220695	type1_color2_cuep
281.373748064	3	type1_color2_searchp
285.4070851803	1.4677992676220695	type3_color2_cuep
289.4239501953	3	type3_color2_searchp
