onset	duration	event_type
1.5037271976	1.2589254117941673	type3_color2_cuep
8.020524025	3	type3_color2_searchp
12.1372301579	1.2589254117941673	type2_color3_cuep
18.6539671421	3	type2_color3_searchp
22.7039511204	1.7113283041617808	type1_color1_cuep
27.5373601913	3	type1_color1_searchp
31.5706210136	1.5848931924611136	type1_color2_cuep
39.6376130581	3	type1_color2_searchp
43.7540709972	1.0	type1_color3_cuep
50.9708840847	3	type1_color3_searchp
55.0208070278	1.3593563908785256	type3_color3_cuep
60.2209460735	3	type3_color3_searchp
64.2709021568	1.1659144011798317	type3_color2_cuep
68.2544851303	3	type3_color2_searchp
72.3042860031	1.9952623149688795	type2_color3_cuep
81.387761116	3	type2_color3_searchp
85.4876360893	1.4677992676220695	type2_color5_cuep
91.7044410706	3	type2_color5_searchp
95.7543911934	1.0	type3_color4_cuep
101.5046401024	3	type3_color4_searchp
105.6045072079	1.9952623149688795	type2_color2_cuep
113.4548799992	3	type2_color2_searchp
117.5046319962	1.0797751623277096	type2_color1_cuep
126.8880991936	3	type2_color1_searchp
130.9880080223	1.7113283041617808	type1_color5_cuep
136.971529007	3	type1_color5_searchp
141.0214550495	1.2589254117941673	type3_color4_cuep
147.6715941429	3	type3_color4_searchp
151.8048241138	1.847849797422291	type1_color2_cuep
156.2051391602	3	type1_color2_searchp
160.2549521923	1.7113283041617808	type1_color4_cuep
165.4384031296	3	type1_color4_searchp
169.5549530983	1.847849797422291	type2_color1_cuep
178.2718420029	3	type2_color1_searchp
182.3051171303	1.0797751623277096	type1_color1_cuep
191.2052102089	3	type1_color1_searchp
195.2551550865	1.9952623149688795	type2_color5_cuep
201.5387701988	3	type2_color5_searchp
205.5885770321	1.5848931924611136	type2_color2_cuep
211.4553701878	3	type2_color2_searchp
215.4887499809	1.5848931924611136	type1_color4_cuep
219.6221711636	3	type1_color4_searchp
223.6720921993	1.4677992676220695	type3_color1_cuep
232.2222681046	3	type3_color1_searchp
236.2555241585	1.0	type3_color5_cuep
242.5222790241	3	type3_color5_searchp
246.5555481911	1.3593563908785256	type3_color1_cuep
251.7557470799	3	type3_color1_searchp
255.7889339924	1.4677992676220695	type3_color3_cuep
263.1057860851	3	type3_color3_searchp
267.1391170025	1.847849797422291	type3_color5_cuep
277.1725680828	3	type3_color5_searchp
281.2225182056	1.1659144011798317	type2_color4_cuep
285.8726661205	3	type2_color4_searchp
289.9059271812	1.0797751623277096	type1_color3_cuep
296.8393340111	3	type1_color3_searchp
300.8893361092	1.3593563908785256	type2_color4_cuep
306.089425087	3	type2_color4_searchp
310.1394979954	1.1659144011798317	type1_color5_cuep
315.8396961689	3	type1_color5_searchp
