onset	duration	event_type
1.0433249474	1.1659144011798317	type1_color5_cuep
7.0600569248	3	type1_color5_searchp
11.0934689045	1.9952623149688795	type2_color4_cuep
19.5935029984	3	type2_color4_searchp
23.6268339157	1.5848931924611136	type1_color2_cuep
30.4768760204	3	type1_color2_searchp
34.5269300938	1.7113283041617808	type3_color2_cuep
40.0771510601	3	type3_color2_searchp
44.1936309338	1.0797751623277096	type1_color3_cuep
48.1104691029	3	type1_color3_searchp
52.1438150406	1.847849797422291	type2_color3_cuep
58.9771549702	3	type2_color3_searchp
63.0271070004	1.5848931924611136	type1_color1_cuep
69.4606850147	3	type1_color1_searchp
73.577256918	1.4677992676220695	type2_color5_cuep
80.8942301273	3	type2_color5_searchp
84.9439210892	1.0797751623277096	type3_color5_cuep
94.3441300392	3	type3_color5_searchp
98.3773579597	1.2589254117941673	type1_color3_cuep
104.3775041103	3	type1_color3_searchp
108.4108200073	1.7113283041617808	type2_color1_cuep
112.9276111126	3	type2_color1_searchp
116.9608769417	1.5848931924611136	type3_color4_cuep
124.3943650723	3	type3_color4_searchp
128.4776639938	1.2589254117941673	type3_color4_cuep
134.0111060143	3	type3_color4_searchp
138.0442669392	1.3593563908785256	type1_color4_cuep
143.2445111275	3	type1_color4_searchp
147.2778251171	1.0	type1_color5_cuep
154.1111810207	3	type1_color5_searchp
158.2444438934	1.7113283041617808	type3_color5_cuep
163.077960968	3	type3_color5_searchp
167.1111440659	1.3593563908785256	type1_color1_cuep
173.2114429474	3	type1_color1_searchp
177.261343956	1.0797751623277096	type1_color4_cuep
183.611467123	3	type1_color4_searchp
187.6446280479	1.1659144011798317	type3_color3_cuep
193.0623159409	3	type3_color3_searchp
197.1114768982	1.9952623149688795	type2_color4_cuep
207.295167923	3	type2_color4_searchp
211.411511898	1.9952623149688795	type2_color1_cuep
220.1450300217	3	type2_color1_searchp
224.1783149242	1.3593563908785256	type3_color1_cuep
230.2785511017	3	type3_color1_searchp
234.7284240723	1.4677992676220695	type3_color3_cuep
242.0452740192	3	type3_color3_searchp
246.0785849094	1.4677992676220695	type2_color2_cuep
250.095482111	3	type2_color2_searchp
254.1286020279	1.847849797422291	type2_color2_cuep
258.81208992	3	type2_color2_searchp
262.8619949818	1.0	type1_color2_cuep
270.3620419502	3	type1_color2_searchp
274.4120850563	1.2589254117941673	type3_color1_cuep
281.1124920845	3	type3_color1_searchp
285.1455769539	1.847849797422291	type3_color2_cuep
290.1289629936	3	type3_color2_searchp
294.1622650623	1.1659144011798317	type2_color3_cuep
301.8290650845	3	type2_color3_searchp
305.8789770603	1.0	type2_color5_cuep
310.7292840481	3	type2_color5_searchp
