onset	duration	event_type
1.449575901	1.9952623149688795	type3_color5_cuep
6.2996349335	3	type3_color5_searchp
10.3329308033	1.5848931924611136	type2_color1_cuep
17.7998290062	3	type2_color1_searchp
21.9164128304	1.3593563908785256	type1_color5_cuep
27.5831778049	3	type1_color5_searchp
31.6164088249	1.847849797422291	type2_color5_cuep
38.7332088947	3	type2_color5_searchp
42.833083868	1.9952623149688795	type3_color4_cuep
51.3333590031	3	type3_color4_searchp
55.366535902	1.9952623149688795	type2_color2_cuep
62.1167290211	3	type2_color2_searchp
66.1834528446	1.0	type3_color1_cuep
73.0335288048	3	type3_color1_searchp
77.066808939	1.1659144011798317	type2_color5_cuep
83.5336658955	3	type2_color5_searchp
87.5668540001	1.0797751623277096	type2_color3_cuep
92.1336858273	3	type2_color3_searchp
96.1669609547	1.7113283041617808	type3_color5_cuep
101.0003340244	3	type3_color5_searchp
105.0836849213	1.4677992676220695	type1_color2_cuep
110.4006140232	3	type1_color2_searchp
114.4837739468	1.7113283041617808	type3_color2_cuep
119.0338349342	3	type3_color2_searchp
123.0670230389	1.3593563908785256	type1_color3_cuep
127.2506048679	3	type1_color3_searchp
131.2840149403	1.847849797422291	type2_color1_cuep
136.2673509121	3	type2_color1_searchp
140.300549984	1.3593563908785256	type1_color2_cuep
146.4008498192	3	type1_color2_searchp
150.5006849766	1.2589254117941673	type1_color5_cuep
155.2508909702	3	type1_color5_searchp
159.4341158867	1.5848931924611136	type2_color4_cuep
167.5177710056	3	type2_color4_searchp
171.5508308411	1.4677992676220695	type3_color4_cuep
177.3010139465	3	type3_color4_searchp
181.3342869282	1.0	type1_color1_cuep
185.4677028656	3	type1_color1_searchp
189.5010700226	1.1659144011798317	type3_color3_cuep
193.2181618214	3	type3_color3_searchp
197.2510228157	1.2589254117941673	type2_color4_cuep
201.0511138439	3	type2_color4_searchp
205.0845329762	1.0797751623277096	type2_color2_cuep
210.0511388779	3	type2_color2_searchp
214.0845558643	1.0	type3_color2_cuep
219.8347020149	3	type3_color2_searchp
223.8679699898	1.5848931924611136	type2_color3_cuep
229.7180550098	3	type2_color3_searchp
233.7513079643	1.2589254117941673	type1_color1_cuep
238.8848359585	3	type1_color1_searchp
242.9181280136	1.1659144011798317	type1_color3_cuep
246.6350679398	3	type1_color3_searchp
250.6682229042	1.0797751623277096	type1_color4_cuep
257.0183188915	3	type1_color4_searchp
261.0515079498	1.847849797422291	type3_color1_cuep
269.4351089001	3	type3_color1_searchp
273.46833992	1.4677992676220695	type1_color4_cuep
278.4184789658	3	type1_color4_searchp
282.4517819881	1.7113283041617808	type3_color3_cuep
290.0019919872	3	type3_color3_searchp
