onset	duration	event_type
1.039937973	1.1659144011798317	type1_color4_cuep
8.7074489594	3	type1_color4_searchp
12.7568159103	1.0797751623277096	type3_color2_cuep
21.9234948158	3	type3_color2_searchp
25.9568009377	1.4677992676220695	type3_color4_cuep
31.2735948563	3	type3_color4_searchp
35.4068338871	1.0	type3_color5_cuep
42.9069440365	3	type3_color5_searchp
46.9403078556	1.3593563908785256	type3_color1_cuep
50.8405938148	3	type3_color1_searchp
54.8737540245	1.1659144011798317	type2_color5_cuep
61.3071010113	3	type2_color5_searchp
65.3571310043	1.847849797422291	type2_color4_cuep
71.4904699326	3	type2_color4_searchp
75.6071338654	1.4677992676220695	type2_color5_cuep
83.6239669323	3	type2_color5_searchp
87.6738538742	1.847849797422291	type2_color3_cuep
94.7907128334	3	type2_color3_searchp
98.8407409191	1.0	type2_color4_cuep
105.7074019909	3	type2_color4_searchp
109.7574169636	1.0797751623277096	type2_color2_cuep
115.1242108345	3	type2_color2_searchp
119.2407360077	1.5848931924611136	type3_color3_cuep
127.224301815	3	type3_color3_searchp
131.2575669289	1.9952623149688795	type1_color2_cuep
138.0076420307	3	type1_color2_searchp
142.0409598351	1.847849797422291	type2_color1_cuep
146.7244369984	3	type2_color1_searchp
150.8576958179	1.7113283041617808	type2_color2_cuep
155.107779026	3	type2_color2_searchp
159.1411399841	1.1659144011798317	type3_color5_cuep
164.1580908299	3	type3_color5_searchp
168.1911168098	1.3593563908785256	type1_color3_cuep
176.4913268089	3	type1_color3_searchp
180.5247049332	1.0797751623277096	type3_color2_cuep
186.874699831	3	type3_color2_searchp
190.9080758095	1.9952623149688795	type1_color1_cuep
199.4081778526	3	type1_color1_searchp
203.4414188862	1.3593563908785256	type1_color5_cuep
210.6414818764	3	type1_color5_searchp
214.6914308071	1.2589254117941673	type2_color3_cuep
222.2749450207	3	type2_color3_searchp
226.3081829548	1.2589254117941673	type1_color5_cuep
231.0415899754	3	type1_color5_searchp
235.0915949345	1.5848931924611136	type2_color1_cuep
241.4084198475	3	type2_color1_searchp
245.4583249092	1.7113283041617808	type3_color3_cuep
253.008551836	3	type3_color3_searchp
257.1418218613	1.5848931924611136	type1_color2_cuep
261.525277853	3	type1_color2_searchp
265.558467865	1.7113283041617808	type3_color1_cuep
271.5253009796	3	type3_color1_searchp
275.5585329533	1.2589254117941673	type1_color4_cuep
280.2755279541	3	type1_color4_searchp
284.4087209702	1.4677992676220695	type3_color4_cuep
289.7254798412	3	type3_color4_searchp
293.7754969597	1.0	type1_color3_cuep
302.5922420025	3	type1_color3_searchp
306.6255159378	1.9952623149688795	type1_color1_cuep
313.2256970406	3	type1_color1_searchp
