onset	duration	event_type
1.0962569714	1.2589254117941673	type1_color1_cuep
4.896378994	3	type1_color1_searchp
8.9296598434	1.5848931924611136	type3_color4_cuep
13.6464648247	3	type3_color4_searchp
17.7464079857	1.3593563908785256	type3_color5_cuep
25.5965588093	3	type3_color5_searchp
29.6298468113	1.0	type3_color1_cuep
33.763220787	3	type3_color1_searchp
37.8632278442	1.0797751623277096	type2_color4_cuep
44.2134008408	3	type2_color4_searchp
48.3132338524	1.5848931924611136	type3_color5_cuep
53.7468259335	3	type3_color5_searchp
57.7800729275	1.2589254117941673	type2_color5_cuep
63.8134768009	3	type2_color5_searchp
67.8469188213	1.5848931924611136	type1_color4_cuep
73.2801568508	3	type1_color4_searchp
77.3134579659	1.2589254117941673	type1_color5_cuep
82.0636959076	3	type1_color5_searchp
86.0970418453	1.4677992676220695	type1_color4_cuep
91.8473379612	3	type1_color4_searchp
95.8804597855	1.7113283041617808	type3_color3_cuep
101.063890934	3	type3_color3_searchp
105.0971419811	1.847849797422291	type2_color1_cuep
113.447316885	3	type2_color1_searchp
117.5305659771	1.0	type1_color2_cuep
121.6807038784	3	type1_color2_searchp
125.714042902	1.847849797422291	type1_color3_cuep
131.8475458622	3	type1_color3_searchp
135.8807239532	1.0797751623277096	type3_color1_cuep
139.5308158398	3	type3_color1_searchp
143.614084959	1.1659144011798317	type3_color2_cuep
150.631072998	3	type3_color2_searchp
154.6641509533	1.1659144011798317	type1_color3_cuep
158.3809838295	3	type1_color3_searchp
162.4642658234	1.4677992676220695	type3_color3_cuep
170.4644408226	3	type3_color3_searchp
174.4977049828	1.7113283041617808	type3_color4_cuep
182.0812118053	3	type3_color4_searchp
186.1644778252	1.0	type1_color5_cuep
189.9979379177	3	type1_color5_searchp
194.0311877728	1.847849797422291	type2_color2_cuep
200.6313359737	3	type2_color2_searchp
204.6646399498	1.9952623149688795	type2_color1_cuep
212.5147869587	3	type2_color1_searchp
216.5479259491	1.9952623149688795	type2_color2_cuep
222.0482099056	3	type2_color2_searchp
226.0814688206	1.3593563908785256	type2_color4_cuep
232.1816549301	3	type2_color4_searchp
236.214897871	1.0797751623277096	type2_color3_cuep
240.1484708786	3	type2_color3_searchp
244.1817288399	1.7113283041617808	type2_color5_cuep
249.7317378521	3	type2_color5_searchp
253.8150207996	1.3593563908785256	type1_color1_cuep
260.4318649769	3	type1_color1_searchp
264.4650738239	1.9952623149688795	type1_color2_cuep
269.315101862	3	type1_color2_searchp
273.3485898972	1.1659144011798317	type3_color2_cuep
279.782157898	3	type3_color2_searchp
283.8153078556	1.4677992676220695	type2_color3_cuep
289.5654509068	3	type2_color3_searchp
