onset	duration	event_type
1.5480091572	1.847849797422291	type3_color3_cuep
9.9314949512	3	type3_color3_searchp
13.9647791386	1.0797751623277096	type2_color4_cuep
17.8815300465	3	type2_color4_searchp
21.9148571491	1.7113283041617808	type1_color4_cuep
27.9316561222	3	type1_color4_searchp
31.9649300575	1.2589254117941673	type1_color3_cuep
37.965088129	3	type1_color3_searchp
42.0816791058	1.2589254117941673	type2_color5_cuep
45.8984279633	3	type2_color5_searchp
49.931689024	1.5848931924611136	type3_color4_cuep
57.3652470112	3	type3_color4_searchp
61.3985321522	1.9952623149688795	type1_color5_cuep
66.2319400311	3	type1_color5_searchp
70.2652671337	1.0	type1_color1_cuep
75.1154220104	3	type1_color1_searchp
79.1487481594	1.3593563908785256	type3_color5_cuep
84.7821631432	3	type3_color5_searchp
88.8154089451	1.3593563908785256	type1_color2_cuep
94.0155870914	3	type1_color2_searchp
98.0488300323	1.4677992676220695	type3_color5_cuep
102.9990141392	3	type3_color5_searchp
107.0323059559	1.1659144011798317	type3_color4_cuep
111.3323800564	3	type3_color4_searchp
115.3656439781	1.3593563908785256	type1_color2_cuep
123.2491631508	3	type1_color2_searchp
127.2824201584	1.4677992676220695	type1_color4_cuep
131.2992210388	3	type1_color4_searchp
135.3324790001	1.847849797422291	type1_color3_cuep
140.0159721375	3	type1_color3_searchp
144.0492329597	1.5848931924611136	type1_color5_cuep
150.9327299595	3	type1_color5_searchp
155.0159881115	1.0797751623277096	type2_color5_cuep
159.5828099251	3	type2_color5_searchp
163.6160559654	1.9952623149688795	type2_color1_cuep
168.7506461144	3	type2_color1_searchp
172.7827990055	1.1659144011798317	type2_color2_cuep
177.0828540325	3	type2_color2_searchp
181.1161601543	1.0797751623277096	type3_color1_cuep
187.4996869564	3	type3_color1_searchp
191.5329480171	1.7113283041617808	type2_color3_cuep
197.9830870628	3	type2_color3_searchp
202.0163841248	1.0	type2_color4_cuep
207.2999830246	3	type2_color4_searchp
211.3997499943	1.2589254117941673	type2_color2_cuep
218.5333001614	3	type2_color2_searchp
222.5665619373	1.7113283041617808	type1_color1_cuep
230.7667341232	3	type1_color1_searchp
234.7999961376	1.9952623149688795	type3_color2_cuep
242.0668189526	3	type3_color2_searchp
246.1001019478	1.1659144011798317	type2_color3_cuep
252.0168480873	3	type2_color3_searchp
256.050194025	1.847849797422291	type2_color1_cuep
261.4003350735	3	type2_color1_searchp
265.4335839748	1.0	type3_color1_cuep
272.2837610245	3	type3_color1_searchp
276.3169989586	1.5848931924611136	type3_color3_cuep
280.4504859447	3	type3_color3_searchp
284.4837710857	1.4677992676220695	type3_color2_cuep
289.8339130878	3	type3_color2_searchp
