onset	duration	event_type
1.0392320156	1.2589254117941673	type1_color2_cuep
5.4560210705	3	type1_color2_searchp
9.5892679691	1.847849797422291	type1_color3_cuep
17.9560370445	3	type1_color3_searchp
21.9893209934	1.0	type2_color2_cuep
27.7729709148	3	type2_color2_searchp
31.8060600758	1.7113283041617808	type1_color1_cuep
36.0564990044	3	type1_color1_searchp
40.0895280838	1.1659144011798317	type2_color4_cuep
45.539577961	3	type2_color4_searchp
49.572945118	1.4677992676220695	type2_color5_cuep
55.3063070774	3	type2_color5_searchp
59.3562879562	1.1659144011798317	type1_color5_cuep
64.3730311394	3	type1_color5_searchp
68.4063830376	1.9952623149688795	type3_color2_cuep
75.7066860199	3	type3_color2_searchp
79.8397319317	1.0797751623277096	type1_color3_cuep
83.7565901279	3	type1_color3_searchp
87.7897970676	1.5848931924611136	type3_color5_cuep
95.2234320641	3	type3_color5_searchp
99.2566161156	1.3593563908785256	type2_color3_cuep
103.4400529861	3	type2_color3_searchp
107.4899599552	1.7113283041617808	type1_color4_cuep
112.3235390186	3	type1_color4_searchp
116.423304081	1.9952623149688795	type3_color2_cuep
123.1735029221	3	type3_color2_searchp
127.2067379951	1.7113283041617808	type2_color2_cuep
132.3735489845	3	type2_color2_searchp
136.4068450928	1.2589254117941673	type3_color1_cuep
142.9571120739	3	type3_color1_searchp
147.0736510754	1.3593563908785256	type2_color3_cuep
154.940568924	3	type2_color3_searchp
158.9738109112	1.0	type2_color4_cuep
165.8238041401	3	type2_color4_searchp
169.8571281433	1.3593563908785256	type3_color3_cuep
176.4738221169	3	type3_color3_searchp
180.5072410107	1.1659144011798317	type3_color1_cuep
185.5248141289	3	type3_color1_searchp
189.5572299957	1.847849797422291	type2_color1_cuep
197.9075300694	3	type2_color1_searchp
201.9407930374	1.4677992676220695	type2_color5_cuep
207.2907309532	3	type2_color5_searchp
211.390763998	1.5848931924611136	type3_color3_cuep
216.4410021305	3	type3_color3_searchp
220.4741330147	1.4677992676220695	type1_color4_cuep
226.6913211346	3	type1_color4_searchp
230.7243571281	1.0797751623277096	type3_color5_cuep
236.0910360813	3	type3_color5_searchp
240.1409919262	1.5848931924611136	type1_color1_cuep
245.2423319817	3	type1_color1_searchp
249.2743470669	1.0	type3_color4_cuep
252.8244709969	3	type3_color4_searchp
256.8577930927	1.847849797422291	type1_color2_cuep
261.5412139893	3	type1_color2_searchp
265.5744330883	1.2589254117941673	type3_color4_cuep
269.9746050835	3	type3_color4_searchp
274.0079600811	1.9952623149688795	type1_color5_cuep
281.8580551147	3	type1_color5_searchp
285.891340971	1.0797751623277096	type2_color1_cuep
289.5247929096	3	type2_color1_searchp
