onset	duration	event_type
1.0780642033	1.0797751623277096	type2_color5_cuep
8.0115530491	3	type2_color5_searchp
12.0448050499	1.3593563908785256	type3_color5_cuep
18.6616230011	3	type3_color5_searchp
22.7115399837	1.847849797422291	type1_color3_cuep
27.3950190544	3	type1_color3_searchp
31.4282181263	1.2589254117941673	type2_color2_cuep
39.1785511971	3	type2_color2_searchp
43.2117180824	1.7113283041617808	type1_color2_cuep
48.7951381207	3	type1_color2_searchp
52.8783771992	1.2589254117941673	type1_color1_cuep
58.4118990898	3	type1_color1_searchp
62.5785200596	1.3593563908785256	type3_color1_cuep
66.5119030476	3	type3_color1_searchp
70.5452020168	1.9952623149688795	type2_color4_cuep
75.3621370792	3	type2_color4_searchp
79.4453790188	1.4677992676220695	type3_color4_cuep
84.3787322044	3	type3_color4_searchp
88.478716135	1.7113283041617808	type1_color4_cuep
93.6623301506	3	type1_color4_searchp
97.6953990459	1.5848931924611136	type3_color4_cuep
102.7454900742	3	type3_color4_searchp
106.8455331326	1.1659144011798317	type1_color2_cuep
111.8623220921	3	type1_color2_searchp
115.9622662067	1.1659144011798317	type3_color5_cuep
121.8790640831	3	type3_color5_searchp
125.9122982025	1.0	type2_color2_cuep
129.7791481018	3	type2_color2_searchp
133.8290610313	1.9952623149688795	type3_color2_cuep
140.6125590801	3	type3_color2_searchp
144.6458051205	1.3593563908785256	type2_color3_cuep
151.862653017	3	type2_color3_searchp
155.8958141804	1.9952623149688795	type3_color3_cuep
160.4459440708	3	type3_color3_searchp
164.5626080036	1.0797751623277096	type2_color4_cuep
171.496129036	3	type2_color4_searchp
175.5293951035	1.4677992676220695	type1_color1_cuep
180.1303369999	3	type1_color1_searchp
184.16279006	1.0	type2_color5_cuep
191.6628870964	3	type2_color5_searchp
195.7961981297	1.2589254117941673	type1_color4_cuep
201.7963440418	3	type1_color4_searchp
205.8295390606	1.0	type2_color1_cuep
212.0964260101	3	type2_color1_searchp
216.1297171116	1.0797751623277096	type1_color5_cuep
221.496694088	3	type1_color5_searchp
225.5297651291	1.5848931924611136	type3_color1_cuep
232.3798410892	3	type3_color1_searchp
236.4298532009	1.4677992676220695	type1_color5_cuep
240.4632511139	3	type1_color5_searchp
244.4965941906	1.5848931924611136	type3_color3_cuep
249.2133700848	3	type3_color3_searchp
253.296653986	1.847849797422291	type1_color3_cuep
259.0301291943	3	type1_color3_searchp
263.0633671284	1.1659144011798317	type2_color1_cuep
267.3635849953	3	type2_color1_searchp
271.5467920303	1.847849797422291	type3_color2_cuep
277.6969060898	3	type3_color2_searchp
281.7968120575	1.7113283041617808	type2_color3_cuep
290.0303740501	3	type2_color3_searchp
