onset	duration	event_type
1.0412778854	1.5848931924611136	type1_color1_cuep
6.1080138683	3	type1_color1_searchp
10.1579799652	1.9952623149688795	type2_color4_cuep
15.841490984	3	type2_color4_searchp
19.8913838863	1.9952623149688795	type2_color2_cuep
25.7415480614	3	type2_color2_searchp
29.7915120125	1.2589254117941673	type1_color5_cuep
35.0749359131	3	type1_color5_searchp
39.2248599529	1.0	type3_color2_cuep
46.0584759712	3	type3_color2_searchp
50.1082520485	1.847849797422291	type3_color5_cuep
55.8084139824	3	type3_color5_searchp
59.8582890034	1.4677992676220695	type1_color4_cuep
64.458521843	3	type1_color4_searchp
68.5417239666	1.0	type1_color3_cuep
73.8252689838	3	type1_color3_searchp
77.8751790524	1.4677992676220695	type3_color4_cuep
85.1920819283	3	type3_color4_searchp
89.2418110371	1.4677992676220695	type3_color3_cuep
93.5421669483	3	type3_color3_searchp
97.6919128895	1.3593563908785256	type2_color3_cuep
103.7921490669	3	type2_color3_searchp
107.8420279026	1.9952623149688795	type1_color5_cuep
114.9922268391	3	type1_color5_searchp
119.0421879292	1.847849797422291	type3_color4_cuep
124.742305994	3	type3_color4_searchp
128.8588778973	1.1659144011798317	type1_color2_cuep
134.7757239342	3	type1_color2_searchp
138.8256440163	1.5848931924611136	type3_color5_cuep
145.8591239452	3	type3_color5_searchp
149.9090659618	1.3593563908785256	type2_color1_cuep
155.5425498486	3	type2_color1_searchp
159.7090740204	1.2589254117941673	type2_color3_cuep
163.7759280205	3	type2_color3_searchp
167.8258678913	1.3593563908785256	type3_color3_cuep
172.3093209267	3	type3_color3_searchp
176.3425998688	1.1659144011798317	type2_color1_cuep
181.792746067	3	type2_color1_searchp
185.9759788513	1.0797751623277096	type3_color1_cuep
191.7929520607	3	type3_color1_searchp
195.8260819912	1.0797751623277096	type1_color1_cuep
202.1594920158	3	type1_color1_searchp
206.209430933	1.7113283041617808	type1_color4_cuep
213.7763290405	3	type1_color4_searchp
217.9595930576	1.5848931924611136	type2_color5_cuep
224.8430049419	3	type2_color5_searchp
228.8929820061	1.0797751623277096	type1_color2_cuep
235.2265059948	3	type1_color2_searchp
239.2763528824	1.847849797422291	type3_color2_cuep
246.9766738415	3	type3_color2_searchp
251.0098249912	1.7113283041617808	type2_color4_cuep
255.2599580288	3	type2_color4_searchp
259.3098988533	1.2589254117941673	type2_color5_cuep
268.3433680534	3	type2_color5_searchp
272.3933088779	1.7113283041617808	type3_color1_cuep
282.7101550102	3	type3_color1_searchp
286.8933598995	1.0	type1_color3_cuep
293.1602358818	3	type1_color3_searchp
297.2101788521	1.1659144011798317	type2_color2_cuep
304.8769459724	3	type2_color2_searchp
