onset	duration	event_type
1.1479809284	1.4677992676220695	type2_color4_cuep
7.3648178577	3	type2_color4_searchp
11.3981490135	1.9952623149688795	type1_color5_cuep
17.6815259457	3	type1_color5_searchp
21.9315240383	1.847849797422291	type1_color1_cuep
29.6483118534	3	type1_color1_searchp
33.6982438564	1.0797751623277096	type2_color2_cuep
40.048404932	3	type2_color2_searchp
44.0817019939	1.0	type3_color1_cuep
47.6484289169	3	type3_color1_searchp
51.7816998959	1.2589254117941673	type3_color4_cuep
55.8484740257	3	type3_color4_searchp
59.8984220028	1.9952623149688795	type1_color2_cuep
66.6484589577	3	type1_color2_searchp
70.6818268299	1.2589254117941673	type2_color1_cuep
78.4320008755	3	type2_color1_searchp
82.5152668953	1.5848931924611136	type3_color3_cuep
86.6486718655	3	type3_color3_searchp
90.698638916	1.4677992676220695	type2_color5_cuep
96.4654009342	3	type2_color5_searchp
100.4987299442	1.0	type2_color3_cuep
106.2490069866	3	type2_color3_searchp
110.2987208366	1.847849797422291	type3_color5_cuep
115.6322858334	3	type3_color5_searchp
119.6821558476	1.3593563908785256	type1_color5_cuep
124.8822948933	3	type1_color5_searchp
128.9155700207	1.9952623149688795	type2_color4_cuep
134.399066925	3	type2_color4_searchp
138.4323329926	1.5848931924611136	type3_color3_cuep
146.5159449577	3	type3_color3_searchp
150.5490989685	1.0797751623277096	type1_color4_cuep
155.4825148582	3	type1_color4_searchp
159.5157899857	1.7113283041617808	type2_color5_cuep
167.0659749508	3	type2_color5_searchp
171.1159379482	1.2589254117941673	type3_color5_cuep
175.216039896	3	type3_color5_searchp
179.2493100166	1.5848931924611136	type1_color2_cuep
184.6827418804	3	type1_color2_searchp
189.2327919006	1.4677992676220695	type3_color4_cuep
197.232831955	3	type3_color4_searchp
201.2661068439	1.1659144011798317	type1_color4_cuep
205.2662339211	3	type1_color4_searchp
209.2994909287	1.3593563908785256	type3_color1_cuep
213.1996109486	3	type3_color1_searchp
217.2495980263	1.7113283041617808	type1_color3_cuep
222.0829749107	3	type1_color3_searchp
226.1163349152	1.0	type1_color1_cuep
230.6163899899	3	type1_color1_searchp
234.6496889591	1.1659144011798317	type3_color2_cuep
241.0832009315	3	type3_color2_searchp
245.1163978577	1.7113283041617808	type1_color3_cuep
252.7001149654	3	type1_color3_searchp
256.7331609726	1.3593563908785256	type2_color2_cuep
262.3667109013	3	type2_color2_searchp
266.4165978432	1.847849797422291	type3_color2_cuep
273.5334329605	3	type3_color2_searchp
277.5667729378	1.0797751623277096	type2_color1_cuep
281.8000619411	3	type2_color1_searchp
285.8334419727	1.1659144011798317	type2_color3_cuep
290.1670520306	3	type2_color3_searchp
