onset	duration	event_type
1.39646101	1.9952623149688795	type1_color2_cuep
7.2966141701	3	type1_color2_searchp
11.3298950195	1.0797751623277096	type2_color4_cuep
17.16340518	3	type2_color4_searchp
21.1965770721	1.5848931924611136	type1_color5_cuep
26.2633981705	3	type1_color5_searchp
30.3800191879	1.0797751623277096	type3_color1_cuep
34.0135071278	3	type3_color1_searchp
38.0466320515	1.0	type3_color5_cuep
44.8969199657	3	type3_color5_searchp
48.930188179	1.1659144011798317	type3_color2_cuep
53.5969350338	3	type3_color2_searchp
57.6301431656	1.7113283041617808	type1_color4_cuep
61.8803770542	3	type1_color4_searchp
65.9136331081	1.3593563908785256	type3_color3_cuep
73.1304650307	3	type3_color3_searchp
77.1637561321	1.847849797422291	type2_color3_cuep
82.8805441856	3	type2_color3_searchp
86.9138090611	1.1659144011798317	type1_color1_cuep
91.2138810158	3	type1_color1_searchp
95.2471921444	1.4677992676220695	type1_color4_cuep
101.9807560444	3	type1_color4_searchp
106.0138771534	1.4677992676220695	type1_color5_cuep
112.2309370041	3	type1_color5_searchp
116.2640471458	1.2589254117941673	type3_color1_cuep
122.2640941143	3	type3_color1_searchp
126.2973740101	1.4677992676220695	type2_color5_cuep
131.2809131145	3	type2_color5_searchp
135.3141210079	1.5848931924611136	type2_color2_cuep
141.1644880772	3	type2_color2_searchp
145.1976280212	1.847849797422291	type3_color4_cuep
150.1810731888	3	type3_color4_searchp
154.2143859863	1.847849797422291	type3_color2_cuep
159.197715044	3	type3_color2_searchp
163.2310731411	1.0	type2_color1_cuep
167.064538002	3	type2_color1_searchp
171.0978000164	1.9952623149688795	type3_color5_cuep
178.9479510784	3	type3_color5_searchp
182.9812390804	1.0797751623277096	type2_color3_cuep
190.5646569729	3	type2_color3_searchp
194.6813020706	1.3593563908785256	type1_color3_cuep
200.3147900105	3	type1_color3_searchp
204.3480069637	1.9952623149688795	type2_color2_cuep
211.6148741245	3	type2_color2_searchp
215.6480891705	1.1659144011798317	type1_color1_cuep
220.6982049942	3	type1_color1_searchp
224.731552124	1.3593563908785256	type3_color3_cuep
232.5817081928	3	type3_color3_searchp
236.6149690151	1.7113283041617808	type2_color1_cuep
244.8151199818	3	type2_color1_searchp
248.8483381271	1.2589254117941673	type1_color2_cuep
252.915323019	3	type1_color2_searchp
256.9484140873	1.7113283041617808	type1_color3_cuep
263.9152779579	3	type1_color3_searchp
267.9484550953	1.5848931924611136	type2_color5_cuep
272.0821430683	3	type2_color5_searchp
276.1152851582	1.0	type2_color4_cuep
281.3820979595	3	type2_color4_searchp
285.4153521061	1.2589254117941673	type3_color4_cuep
289.5155999661	3	type3_color4_searchp
