onset	duration	event_type
1.0342810154	1.5848931924611136	type1_color4_cuep
6.5009660721	3	type1_color4_searchp
10.5342681408	1.2589254117941673	type1_color5_cuep
16.0510392189	3	type1_color5_searchp
20.0843532085	1.9952623149688795	type1_color4_cuep
28.601126194	3	type1_color4_searchp
32.6344451904	1.1659144011798317	type2_color4_cuep
38.5845901966	3	type2_color4_searchp
42.6178560257	1.3593563908785256	type2_color4_cuep
49.8180100918	3	type2_color4_searchp
53.8511891365	1.5848931924611136	type2_color1_cuep
58.2847490311	3	type2_color1_searchp
62.3179831505	1.847849797422291	type3_color2_cuep
67.0179932117	3	type3_color2_searchp
71.1347081661	1.7113283041617808	type1_color3_cuep
75.9682002068	3	type1_color3_searchp
80.0014891624	1.847849797422291	type1_color1_cuep
85.3349320889	3	type1_color1_searchp
89.3681480885	1.9952623149688795	type2_color2_cuep
95.6518750191	3	type2_color2_searchp
99.6849381924	1.0	type2_color3_cuep
107.1852560043	3	type2_color3_searchp
111.2183771133	1.4677992676220695	type2_color5_cuep
119.1852221489	3	type2_color5_searchp
123.2184791565	1.0797751623277096	type3_color5_cuep
129.0852591991	3	type3_color5_searchp
133.1186220646	1.3593563908785256	type3_color5_cuep
140.3186330795	3	type3_color5_searchp
144.3519761562	1.2589254117941673	type1_color5_cuep
149.085599184	3	type1_color5_searchp
153.1187121868	1.7113283041617808	type3_color4_cuep
157.9521870613	3	type3_color4_searchp
161.9854111671	1.1659144011798317	type2_color5_cuep
165.7188630104	3	type2_color5_searchp
169.8521680832	1.4677992676220695	type3_color3_cuep
175.168954134	3	type3_color3_searchp
179.2021150589	1.0	type1_color1_cuep
185.4690201283	3	type1_color1_searchp
189.502202034	1.7113283041617808	type1_color2_cuep
196.5023391247	3	type1_color2_searchp
200.5356111526	1.0797751623277096	type3_color4_cuep
204.7357780933	3	type3_color4_searchp
208.7690870762	1.2589254117941673	type1_color3_cuep
214.3025681973	3	type1_color3_searchp
218.4358611107	1.0	type3_color3_cuep
223.2860181332	3	type3_color3_searchp
227.3191912174	1.1659144011798317	type2_color3_cuep
231.0360720158	3	type2_color3_searchp
235.0693650246	1.4677992676220695	type3_color1_cuep
242.386174202	3	type3_color1_searchp
246.4194321632	1.0797751623277096	type3_color1_cuep
252.7697241306	3	type3_color1_searchp
256.8027150631	1.3593563908785256	type3_color2_cuep
262.919629097	3	type3_color2_searchp
266.9528620243	1.9952623149688795	type1_color2_cuep
271.5029921532	3	type1_color2_searchp
275.5363202095	1.847849797422291	type2_color2_cuep
280.2031509876	3	type2_color2_searchp
284.2364029884	1.5848931924611136	type2_color1_cuep
289.2866740227	3	type2_color1_searchp
