onset	duration	event_type
1.4138901234	1.2589254117941673	type1_color2_cuep
7.4139821529	3	type1_color2_searchp
11.8138651848	1.847849797422291	type1_color4_cuep
16.480738163	3	type1_color4_searchp
20.5140151978	1.0	type3_color5_cuep
24.6475272179	3	type3_color5_searchp
28.6807122231	1.2589254117941673	type2_color2_cuep
34.2142400742	3	type2_color2_searchp
38.2475340366	1.1659144011798317	type1_color1_cuep
42.5475411415	3	type1_color1_searchp
46.5809361935	1.3593563908785256	type3_color4_cuep
50.7642521858	3	type3_color4_searchp
54.7975990772	1.4677992676220695	type3_color1_cuep
60.1145620346	3	type3_color1_searchp
64.3310921192	1.5848931924611136	type2_color4_cuep
72.4145691395	3	type2_color4_searchp
76.4477591515	1.2589254117941673	type1_color3_cuep
82.9646310806	3	type1_color3_searchp
86.9979100227	1.9952623149688795	type2_color2_cuep
94.2647402287	3	type2_color2_searchp
98.2979590893	1.0	type2_color3_cuep
104.0649352074	3	type2_color3_searchp
108.0979890823	1.5848931924611136	type2_color1_cuep
115.5648860931	3	type2_color1_searchp
119.6980500221	1.5848931924611136	type1_color2_cuep
127.7816181183	3	type1_color2_searchp
131.8149540424	1.3593563908785256	type3_color3_cuep
136.6650850773	3	type3_color3_searchp
140.6982390881	1.4677992676220695	type1_color3_cuep
144.7151091099	3	type1_color3_searchp
148.748385191	1.847849797422291	type1_color1_cuep
153.4651420116	3	type1_color1_searchp
157.4983680248	1.0797751623277096	type3_color2_cuep
161.7154340744	3	type3_color2_searchp
165.7484531403	1.4677992676220695	type3_color5_cuep
171.9653141499	3	type3_color5_searchp
176.04859519	1.7113283041617808	type3_color1_cuep
181.6320080757	3	type3_color1_searchp
185.6652932167	1.0797751623277096	type2_color5_cuep
192.0155251026	3	type2_color5_searchp
196.1152570248	1.1659144011798317	type2_color4_cuep
200.7821791172	3	type2_color4_searchp
204.815472126	1.3593563908785256	type2_color3_cuep
208.7157421112	3	type2_color3_searchp
212.7488200665	1.9952623149688795	type3_color4_cuep
221.2823700905	3	type3_color4_searchp
225.3656270504	1.1659144011798317	type2_color5_cuep
230.7990310192	3	type2_color5_searchp
234.8323020935	1.0	type1_color5_cuep
240.1159172058	3	type1_color5_searchp
244.249104023	1.7113283041617808	type1_color4_cuep
249.832583189	3	type1_color4_searchp
253.8659281731	1.7113283041617808	type3_color3_cuep
261.4159982204	3	type3_color3_searchp
265.4492790699	1.0797751623277096	type2_color1_cuep
270.0160901546	3	type2_color1_searchp
274.0493671894	1.847849797422291	type3_color2_cuep
281.7494540215	3	type3_color2_searchp
285.7827711105	1.9952623149688795	type1_color5_cuep
290.3662180901	3	type1_color5_searchp
