onset	duration	event_type
1.0317189693	1.2589254117941673	type2_color5_cuep
8.131788969	3	type2_color5_searchp
12.2316839695	1.9952623149688795	type2_color3_cuep
18.9818921089	3	type2_color3_searchp
23.0151400566	1.0	type2_color5_cuep
29.3152770996	3	type2_color5_searchp
33.3485500813	1.0797751623277096	type1_color2_cuep
40.9653379917	3	type1_color2_searchp
44.9986109734	1.3593563908785256	type2_color4_cuep
49.1820960045	3	type2_color4_searchp
53.2153661251	1.3593563908785256	type1_color5_cuep
57.4154539108	3	type1_color5_searchp
61.498748064	1.5848931924611136	type3_color1_cuep
67.8322191238	3	type3_color1_searchp
71.8655059338	1.3593563908785256	type3_color4_cuep
75.7657001019	3	type3_color4_searchp
79.7988231182	1.5848931924611136	type3_color3_cuep
87.2490489483	3	type3_color3_searchp
91.2823240757	1.9952623149688795	type2_color2_cuep
97.1323831081	3	type2_color2_searchp
101.1656241417	1.0	type2_color1_cuep
105.3157200813	3	type2_color1_searchp
109.4157299995	1.2589254117941673	type1_color3_cuep
115.9326019287	3	type1_color3_searchp
119.9658129215	1.4677992676220695	type2_color2_cuep
124.5659990311	3	type2_color2_searchp
128.6992161274	1.7113283041617808	type2_color4_cuep
133.8827359676	3	type2_color4_searchp
137.9160051346	1.4677992676220695	type1_color4_cuep
145.8827650547	3	type1_color4_searchp
149.9160530567	1.2589254117941673	type1_color1_cuep
155.4662051201	3	type1_color1_searchp
159.4994540215	1.4677992676220695	type3_color2_cuep
166.8163430691	3	type3_color2_searchp
170.8495519161	1.847849797422291	type3_color5_cuep
176.9830300808	3	type3_color5_searchp
181.0163440704	1.7113283041617808	type3_color5_cuep
188.0163400173	3	type3_color5_searchp
192.0498020649	1.1659144011798317	type3_color1_cuep
195.7998650074	3	type3_color1_searchp
199.833137989	1.0797751623277096	type3_color4_cuep
204.0499749184	3	type3_color4_searchp
208.0832231045	1.1659144011798317	type3_color2_cuep
213.1000070572	3	type3_color2_searchp
217.133284092	1.1659144011798317	type1_color5_cuep
221.783411026	3	type1_color5_searchp
225.8166799545	1.7113283041617808	type1_color3_cuep
230.0667960644	3	type1_color3_searchp
234.1666839123	1.847849797422291	type1_color1_cuep
242.51689291	3	type1_color1_searchp
246.5501661301	1.5848931924611136	type2_color1_cuep
251.6179060936	3	type2_color1_searchp
255.7335500717	1.847849797422291	type3_color3_cuep
261.4337320328	3	type3_color3_searchp
265.4669589996	1.9952623149688795	type1_color2_cuep
271.7337779999	3	type1_color2_searchp
275.767056942	1.0797751623277096	type1_color4_cuep
281.6005120277	3	type1_color4_searchp
285.6337051392	1.0	type2_color3_cuep
289.4842460155	3	type2_color3_searchp
