onset	duration	event_type
1.2485899925	1.4677992676220695	type2_color4_cuep
7.4653940201	3	type2_color4_searchp
11.498721838	1.0797751623277096	type2_color4_cuep
16.0654418468	3	type2_color4_searchp
20.0987770557	1.9952623149688795	type2_color3_cuep
24.9158298969	3	type2_color3_searchp
28.9488680363	1.0797751623277096	type1_color1_cuep
33.1655139923	3	type1_color1_searchp
37.1988868713	1.7113283041617808	type1_color2_cuep
44.1657400131	3	type1_color2_searchp
48.1989228725	1.9952623149688795	type1_color4_cuep
53.3324239254	3	type1_color4_searchp
57.3657319546	1.2589254117941673	type1_color4_cuep
61.4324059486	3	type1_color4_searchp
65.4658029079	1.1659144011798317	type3_color3_cuep
71.3826270103	3	type3_color3_searchp
75.4158809185	1.5848931924611136	type2_color2_cuep
80.1326839924	3	type2_color2_searchp
84.1659488678	1.847849797422291	type3_color3_cuep
91.2827739716	3	type3_color3_searchp
95.399296999	1.847849797422291	type3_color2_cuep
103.7662389278	3	type3_color2_searchp
107.7994639874	1.0	type3_color1_cuep
111.6329269409	3	type3_color1_searchp
115.6661908627	1.0	type2_color1_cuep
120.5163209438	3	type2_color1_searchp
124.6495759487	1.2589254117941673	type2_color2_cuep
131.7664198875	3	type2_color2_searchp
135.7996869087	1.3593563908785256	type1_color2_cuep
139.7164490223	3	type1_color2_searchp
143.8496768475	1.1659144011798317	type3_color1_cuep
148.4832260609	3	type3_color1_searchp
152.5164339542	1.9952623149688795	type2_color1_cuep
159.7832870483	3	type2_color1_searchp
163.9165539742	1.847849797422291	type3_color5_cuep
169.6168088913	3	type3_color5_searchp
173.6500048637	1.5848931924611136	type1_color3_cuep
181.7168090343	3	type1_color3_searchp
185.8167588711	1.7113283041617808	type3_color5_cuep
193.3669500351	3	type3_color5_searchp
197.4001710415	1.4677992676220695	type3_color4_cuep
202.3669290543	3	type3_color4_searchp
206.4835450649	1.0	type1_color5_cuep
211.7669479847	3	type1_color5_searchp
215.8002929688	1.1659144011798317	type3_color4_cuep
222.817127943	3	type3_color4_searchp
226.8503880501	1.4677992676220695	type2_color5_cuep
234.8505408764	3	type2_color5_searchp
238.8837330341	1.7113283041617808	type2_color5_cuep
244.8671419621	3	type2_color5_searchp
249.0172109604	1.5848931924611136	type2_color3_cuep
255.3673739433	3	type2_color3_searchp
259.400635004	1.0797751623277096	type1_color1_cuep
263.0674190521	3	type1_color1_searchp
267.1006369591	1.2589254117941673	type1_color3_cuep
272.6174490452	3	type1_color3_searchp
276.7340438366	1.3593563908785256	type1_color5_cuep
280.6676859856	3	type1_color5_searchp
284.7008419037	1.3593563908785256	type3_color2_cuep
289.9343090057	3	type3_color2_searchp
