onset	duration	event_type
1.0852639675	1.0797751623277096	type2_color2_cuep
6.918735981	3	type2_color2_searchp
10.9520199299	1.2589254117941673	type2_color5_cuep
16.0854561329	3	type2_color5_searchp
20.1187479496	1.5848931924611136	type1_color4_cuep
25.1855509281	3	type1_color4_searchp
29.2188980579	1.4677992676220695	type1_color3_cuep
33.5190989971	3	type1_color3_searchp
37.5521531105	1.0	type3_color2_cuep
42.83562994	3	type3_color2_searchp
46.868927002	1.9952623149688795	type2_color4_cuep
55.369246006	3	type2_color4_searchp
59.4856519699	1.1659144011798317	type2_color4_cuep
65.4025571346	3	type2_color4_searchp
69.4358069897	1.9952623149688795	type3_color5_cuep
75.3194189072	3	type3_color5_searchp
79.4024279118	1.2589254117941673	type1_color5_cuep
83.7860360146	3	type1_color5_searchp
87.8193609715	1.847849797422291	type3_color2_cuep
92.8192739487	3	type3_color2_searchp
96.8526980877	1.3593563908785256	type3_color1_cuep
104.7361779213	3	type3_color1_searchp
108.7694120407	1.7113283041617808	type1_color1_cuep
113.9695761204	3	type1_color1_searchp
118.0027780533	1.1659144011798317	type3_color3_cuep
123.4529891014	3	type3_color3_searchp
127.4861500263	1.847849797422291	type2_color1_cuep
132.1697239876	3	type2_color1_searchp
136.2030720711	1.7113283041617808	type1_color4_cuep
142.6698219776	3	type1_color4_searchp
146.7029969692	1.3593563908785256	type3_color4_cuep
153.9032289982	3	type3_color4_searchp
157.9363920689	1.3593563908785256	type1_color1_cuep
162.1364719868	3	type1_color1_searchp
166.2532279491	1.4677992676220695	type3_color5_cuep
170.8533649445	3	type3_color5_searchp
174.886578083	1.0	type3_color1_cuep
181.1536490917	3	type3_color1_searchp
185.1867110729	1.5848931924611136	type2_color3_cuep
189.3368360996	3	type2_color3_searchp
193.3701069355	1.1659144011798317	type2_color1_cuep
200.3869431019	3	type2_color1_searchp
204.420085907	1.5848931924611136	type3_color3_cuep
209.4870359898	3	type3_color3_searchp
213.5202250481	1.4677992676220695	type1_color2_cuep
220.2539019585	3	type1_color2_searchp
224.3203289509	1.2589254117941673	type1_color5_cuep
228.1204221249	3	type1_color5_searchp
232.1537320614	1.0797751623277096	type1_color3_cuep
238.5038969517	3	type1_color3_searchp
242.5372641087	1.847849797422291	type1_color2_cuep
246.9373340607	3	type1_color2_searchp
250.970484972	1.9952623149688795	type2_color3_cuep
259.4707050323	3	type2_color3_searchp
263.5040099621	1.0797751623277096	type2_color2_cuep
270.4207890034	3	type2_color2_searchp
274.4540131092	1.0	type3_color4_cuep
279.3042430878	3	type3_color4_searchp
283.3375649452	1.7113283041617808	type2_color5_cuep
289.3541810513	3	type2_color5_searchp
