onset	duration	event_type
1.1336300373	1.3593563908785256	type1_color5_cuep
5.0337820053	3	type1_color5_searchp
9.0671260357	1.2589254117941673	type3_color4_cuep
13.7837789059	3	type3_color4_searchp
17.8337228298	1.4677992676220695	type2_color2_cuep
22.1338009834	3	type2_color2_searchp
26.167126894	1.3593563908785256	type3_color4_cuep
33.3838899136	3	type3_color4_searchp
37.4173398018	1.0	type1_color1_cuep
43.1673979759	3	type1_color1_searchp
47.2839999199	1.4677992676220695	type3_color5_cuep
51.5842349529	3	type3_color5_searchp
55.6174199581	1.5848931924611136	type2_color4_cuep
60.6676850319	3	type2_color4_searchp
64.7007079124	1.7113283041617808	type1_color5_cuep
74.167662859	3	type1_color5_searchp
78.2008268833	1.9952623149688795	type1_color4_cuep
82.7510488033	3	type1_color4_searchp
86.7843959332	1.7113283041617808	type3_color5_cuep
94.9844858646	3	type3_color5_searchp
99.0177428722	1.9952623149688795	type2_color2_cuep
103.8513569832	3	type2_color2_searchp
107.8843998909	1.847849797422291	type2_color5_cuep
114.4012949467	3	type2_color5_searchp
118.5178039074	1.5848931924611136	type2_color5_cuep
123.9513869286	3	type2_color5_searchp
127.9846320152	1.3593563908785256	type1_color4_cuep
133.1848139763	3	type1_color4_searchp
137.2180168629	1.0797751623277096	type2_color1_cuep
143.9015328884	3	type2_color1_searchp
148.001447916	1.9952623149688795	type2_color1_cuep
153.1348938942	3	type2_color1_searchp
157.1681900024	1.0797751623277096	type1_color3_cuep
161.3683259487	3	type1_color3_searchp
165.4016699791	1.2589254117941673	type1_color2_cuep
171.8850708008	3	type1_color2_searchp
175.9850168228	1.4677992676220695	type3_color3_cuep
181.7350788116	3	type3_color3_searchp
185.7684848309	1.7113283041617808	type1_color3_cuep
191.751914978	3	type1_color3_searchp
195.7852609158	1.1659144011798317	type1_color1_cuep
202.8019909859	3	type1_color1_searchp
206.901902914	1.847849797422291	type2_color3_cuep
214.602159977	3	type2_color3_searchp
218.6353979111	1.0	type1_color2_cuep
223.3187298775	3	type1_color2_searchp
227.3520829678	1.2589254117941673	type2_color3_cuep
235.1022489071	3	type2_color3_searchp
239.1355919838	1.847849797422291	type3_color2_cuep
244.4689188004	3	type3_color2_searchp
248.5022718906	1.1659144011798317	type3_color1_cuep
252.219165802	3	type3_color1_searchp
256.2523169518	1.0797751623277096	type3_color3_cuep
263.7358248234	3	type3_color3_searchp
267.7690758705	1.5848931924611136	type3_color2_cuep
274.1026608944	3	type3_color2_searchp
278.2191548347	1.0	type3_color1_cuep
286.2693219185	3	type3_color1_searchp
290.3025579453	1.1659144011798317	type2_color4_cuep
295.3193888664	3	type2_color4_searchp
