onset	duration	event_type
1.0778491497	1.847849797422291	type1_color4_cuep
5.7445600033	3	type1_color4_searchp
9.7777900696	1.5848931924611136	type2_color1_cuep
14.4947049618	3	type2_color1_searchp
18.5445971489	1.7113283041617808	type3_color5_cuep
26.4948170185	3	type3_color5_searchp
30.5280461311	1.7113283041617808	type3_color1_cuep
38.0781991482	3	type3_color1_searchp
42.1114981174	1.847849797422291	type1_color2_cuep
50.4616801739	3	type1_color2_searchp
54.5448820591	1.1659144011798317	type3_color4_cuep
58.8450000286	3	type3_color4_searchp
62.8783409595	1.0797751623277096	type2_color3_cuep
71.9286520481	3	type2_color3_searchp
75.9617760181	1.0	type3_color4_cuep
80.8118281364	3	type3_color4_searchp
84.845179081	1.5848931924611136	type1_color5_cuep
91.1785991192	3	type1_color5_searchp
95.2119560242	1.7113283041617808	type2_color4_cuep
101.1953761578	3	type2_color4_searchp
105.2287201881	1.0	type2_color3_cuep
111.4954710007	3	type2_color3_searchp
115.6120390892	1.1659144011798317	type2_color2_cuep
123.1622471809	3	type2_color2_searchp
127.1956629753	1.5848931924611136	type2_color1_cuep
135.4955279827	3	type2_color1_searchp
139.6121840477	1.4677992676220695	type2_color5_cuep
146.9290909767	3	type2_color5_searchp
150.9623410702	1.0797751623277096	type2_color2_cuep
157.2957620621	3	type2_color2_searchp
161.3291101456	1.9952623149688795	type2_color5_cuep
168.0792410374	3	type2_color5_searchp
172.1290831566	1.4677992676220695	type2_color4_cuep
178.8625500202	3	type2_color4_searchp
182.8960390091	1.2589254117941673	type1_color3_cuep
189.9961869717	3	type1_color3_searchp
194.0459849834	1.1659144011798317	type3_color2_cuep
201.7128469944	3	type3_color2_searchp
205.7461071014	1.3593563908785256	type1_color4_cuep
215.7131550312	3	type1_color4_searchp
219.7462251186	1.0797751623277096	type3_color3_cuep
224.6630220413	3	type3_color3_searchp
228.6961610317	1.3593563908785256	type3_color2_cuep
233.5296339989	3	type3_color2_searchp
237.5630381107	1.4677992676220695	type1_color1_cuep
243.3132669926	3	type1_color1_searchp
247.446418047	1.9952623149688795	type1_color5_cuep
257.529927969	3	type1_color5_searchp
261.5631651878	1.2589254117941673	type1_color3_cuep
269.9467229843	3	type1_color3_searchp
273.9799821377	1.3593563908785256	type1_color1_cuep
279.613473177	3	type1_color1_searchp
283.6467430592	1.847849797422291	type3_color1_cuep
291.48021698	3	type3_color1_searchp
295.5134840012	1.2589254117941673	type1_color2_cuep
299.5970411301	3	type1_color2_searchp
303.8468821049	1.9952623149688795	type3_color5_cuep
308.3974041939	3	type3_color5_searchp
312.4303631783	1.0	type3_color3_cuep
317.5804150105	3	type3_color3_searchp
