onset	duration	event_type
1.0839309692	1.7113283041617808	type3_color2_cuep
5.6006391048	3	type3_color2_searchp
9.6339771748	1.4677992676220695	type1_color1_cuep
16.9508361816	3	type1_color1_searchp
20.984126091	1.7113283041617808	type3_color4_cuep
27.9510750771	3	type3_color4_searchp
31.9842071533	1.847849797422291	type1_color4_cuep
37.3008639812	3	type1_color4_searchp
41.3342261314	1.3593563908785256	type1_color2_cuep
46.5677101612	3	type1_color2_searchp
50.6010329723	1.3593563908785256	type2_color3_cuep
54.501139164	3	type2_color3_searchp
58.5343680382	1.2589254117941673	type3_color1_cuep
66.2847020626	3	type3_color1_searchp
70.3678591251	1.5848931924611136	type2_color4_cuep
76.6846711636	3	type2_color4_searchp
80.717952013	1.847849797422291	type3_color2_cuep
85.7014431953	3	type3_color2_searchp
89.7347750664	1.7113283041617808	type2_color3_cuep
94.5681910515	3	type2_color3_searchp
98.6014690399	1.0	type2_color1_cuep
102.1515340805	3	type2_color1_searchp
106.1848402023	1.5848931924611136	type3_color4_cuep
113.0349981785	3	type3_color4_searchp
117.068212986	1.1659144011798317	type1_color4_cuep
123.0183801651	3	type1_color4_searchp
127.0516991615	1.847849797422291	type2_color2_cuep
135.4353451729	3	type2_color2_searchp
139.5351099968	1.3593563908785256	type1_color5_cuep
144.7686100006	3	type1_color5_searchp
148.801828146	1.1659144011798317	type3_color3_cuep
153.8522171974	3	type3_color3_searchp
157.9352781773	1.4677992676220695	type2_color2_cuep
162.5354130268	3	type2_color2_searchp
166.5687031746	1.9952623149688795	type1_color1_cuep
172.0523359776	3	type1_color1_searchp
176.0853800774	1.0	type2_color5_cuep
181.3688001633	3	type2_color5_searchp
185.4021761417	1.5848931924611136	type2_color5_cuep
189.8356301785	3	type2_color5_searchp
193.8688611984	1.4677992676220695	type1_color5_cuep
199.6190810204	3	type1_color5_searchp
203.7023510933	1.1659144011798317	type3_color5_cuep
208.3691601753	3	type3_color5_searchp
212.4024250507	1.2589254117941673	type3_color5_cuep
218.4027462006	3	type3_color5_searchp
222.435847044	1.0797751623277096	type3_color1_cuep
229.4026470184	3	type3_color1_searchp
233.4359641075	1.2589254117941673	type1_color3_cuep
240.5361061096	3	type1_color3_searchp
244.6193521023	1.9952623149688795	type3_color3_cuep
251.8861951828	3	type3_color3_searchp
255.9193429947	1.0	type1_color2_cuep
263.4195420742	3	type1_color2_searchp
267.4529020786	1.0797751623277096	type2_color4_cuep
271.3530161381	3	type2_color4_searchp
275.3862330914	1.9952623149688795	type1_color3_cuep
281.6699290276	3	type1_color3_searchp
285.7030301094	1.0797751623277096	type2_color1_cuep
289.3698301315	3	type2_color1_searchp
