onset	duration	event_type
1.0297329426	1.1659144011798317	type3_color4_cuep
8.696641922	3	type3_color4_searchp
12.7298948765	1.7113283041617808	type1_color4_cuep
17.9135389328	3	type1_color4_searchp
21.9466409683	1.847849797422291	type1_color5_cuep
26.3467769623	3	type1_color5_searchp
30.3800468445	1.847849797422291	type3_color2_cuep
37.5134699345	3	type3_color2_searchp
41.6134450436	1.0	type3_color2_cuep
47.3969600201	3	type3_color2_searchp
51.4302158356	1.1659144011798317	type2_color3_cuep
56.0803749561	3	type2_color3_searchp
60.1135668755	1.5848931924611136	type1_color1_cuep
66.0139319897	3	type1_color1_searchp
70.0472228527	1.0	type3_color4_cuep
74.8971920013	3	type3_color4_searchp
78.9304609299	1.4677992676220695	type3_color1_cuep
83.880576849	3	type3_color1_searchp
87.9138269424	1.9952623149688795	type2_color2_cuep
92.7481539249	3	type2_color2_searchp
96.7805960178	1.5848931924611136	type3_color1_cuep
101.1974139214	3	type3_color1_searchp
105.2307009697	1.847849797422291	type2_color4_cuep
109.9141039848	3	type2_color4_searchp
113.9474179745	1.3593563908785256	type3_color3_cuep
120.0475718975	3	type3_color3_searchp
124.0808010101	1.1659144011798317	type2_color4_cuep
131.0976169109	3	type2_color4_searchp
135.1975488663	1.7113283041617808	type2_color1_cuep
142.7477600575	3	type2_color1_searchp
146.7810409069	1.3593563908785256	type1_color2_cuep
152.8812220097	3	type1_color2_searchp
156.9144339561	1.2589254117941673	type3_color3_cuep
162.0145249367	3	type3_color3_searchp
166.0478010178	1.2589254117941673	type2_color5_cuep
173.7980408669	3	type2_color5_searchp
177.8979818821	1.7113283041617808	type2_color5_cuep
182.7480988503	3	type2_color5_searchp
186.7813849449	1.5848931924611136	type1_color3_cuep
190.914839983	3	type1_color3_searchp
194.9480569363	1.0	type3_color5_cuep
200.2650718689	3	type3_color5_searchp
204.2982070446	1.9952623149688795	type2_color2_cuep
209.4649698734	3	type2_color2_searchp
213.5648620129	1.4677992676220695	type1_color1_cuep
220.8817658424	3	type1_color1_searchp
224.9150469303	1.0797751623277096	type1_color2_cuep
230.2985050678	3	type1_color2_searchp
234.3317830563	1.2589254117941673	type1_color5_cuep
242.0821070671	3	type1_color5_searchp
246.1152880192	1.9952623149688795	type2_color3_cuep
252.0153770447	3	type2_color3_searchp
256.1153099537	1.0797751623277096	type3_color5_cuep
262.4653658867	3	type3_color5_searchp
266.4987170696	1.3593563908785256	type1_color3_cuep
270.4155330658	3	type1_color3_searchp
274.4487769604	1.0797751623277096	type2_color1_cuep
278.6491069794	3	type2_color1_searchp
282.682213068	1.4677992676220695	type1_color4_cuep
289.4157068729	3	type1_color4_searchp
