onset	duration	event_type
1.0360608101	1.0797751623277096	type2_color1_cuep
4.6695158482	3	type2_color1_searchp
8.7028048038	1.9952623149688795	type2_color4_cuep
15.4861898422	3	type2_color4_searchp
19.5195498466	1.4677992676220695	type1_color4_cuep
25.2696988583	3	type1_color4_searchp
29.3029799461	1.7113283041617808	type2_color2_cuep
35.753182888	3	type2_color2_searchp
39.8030188084	1.1659144011798317	type1_color3_cuep
44.8198769093	3	type1_color3_searchp
48.853055954	1.5848931924611136	type3_color2_cuep
56.9365777969	3	type3_color2_searchp
60.969894886	1.847849797422291	type2_color5_cuep
65.9866058826	3	type2_color5_searchp
70.0199699402	1.0	type3_color1_cuep
77.5534749031	3	type3_color1_searchp
81.5867478848	1.0797751623277096	type3_color4_cuep
85.2034568787	3	type3_color4_searchp
89.2368218899	1.2589254117941673	type2_color4_cuep
93.9702279568	3	type2_color4_searchp
98.0034708977	1.3593563908785256	type3_color3_cuep
103.6369509697	3	type3_color3_searchp
107.6702778339	1.7113283041617808	type3_color3_cuep
114.6371438503	3	type3_color3_searchp
118.6703929901	1.0797751623277096	type3_color1_cuep
123.6038718224	3	type3_color1_searchp
127.6537559032	1.9952623149688795	type1_color1_cuep
132.5038938522	3	type1_color1_searchp
136.6038658619	1.847849797422291	type1_color1_cuep
142.3041689396	3	type1_color1_searchp
146.33720994	1.847849797422291	type3_color5_cuep
151.6707248688	3	type3_color5_searchp
155.7040359974	1.3593563908785256	type1_color5_cuep
160.1874959469	3	type1_color5_searchp
164.2207679749	1.1659144011798317	type1_color4_cuep
171.2375838757	3	type1_color4_searchp
175.2708809376	1.7113283041617808	type2_color3_cuep
181.2544579506	3	type2_color3_searchp
185.2876617908	1.3593563908785256	type3_color2_cuep
189.4710898399	3	type3_color2_searchp
193.5043518543	1.5848931924611136	type2_color5_cuep
198.2211558819	3	type2_color5_searchp
202.2544260025	1.5848931924611136	type1_color3_cuep
209.1045777798	3	type1_color3_searchp
213.1377828121	1.9952623149688795	type2_color2_cuep
220.98802495	3	type2_color2_searchp
225.0212848187	1.2589254117941673	type3_color5_cuep
229.1213889122	3	type3_color5_searchp
233.1548008919	1.4677992676220695	type3_color4_cuep
241.1381869316	3	type3_color4_searchp
245.1714658737	1.0	type2_color3_cuep
252.0549438	3	type2_color3_searchp
256.0881187916	1.4677992676220695	type1_color2_cuep
261.0549459457	3	type1_color2_searchp
265.0882868767	1.2589254117941673	type1_color5_cuep
271.0884358883	3	type1_color5_searchp
275.1217060089	1.1659144011798317	type1_color2_cuep
278.8551747799	3	type1_color2_searchp
282.971765995	1.0	type2_color1_cuep
289.2387318611	3	type2_color1_searchp
