onset	duration	event_type
1.1041989326	1.847849797422291	type2_color4_cuep
9.4543879032	3	type2_color4_searchp
13.4876508713	1.2589254117941673	type1_color1_cuep
18.2211539745	3	type1_color1_searchp
22.2544198036	1.9952623149688795	type2_color5_cuep
29.0047199726	3	type2_color5_searchp
33.0378148556	1.1659144011798317	type1_color5_cuep
36.7546269894	3	type1_color5_searchp
40.8878757954	1.0797751623277096	type3_color5_cuep
47.2215259075	3	type3_color5_searchp
51.2546508312	1.7113283041617808	type2_color2_cuep
55.7714619637	3	type2_color2_searchp
59.8047099113	1.9952623149688795	type3_color2_cuep
67.071532011	3	type3_color2_searchp
71.1048288345	1.4677992676220695	type1_color1_cuep
75.7048859596	3	type1_color1_searchp
79.7382957935	1.3593563908785256	type3_color2_cuep
83.6551430225	3	type3_color2_searchp
87.6882967949	1.5848931924611136	type3_color5_cuep
95.7718119621	3	type3_color5_searchp
99.8550670147	1.5848931924611136	type3_color4_cuep
107.9386019707	3	type3_color4_searchp
111.9718539715	1.7113283041617808	type3_color1_cuep
119.5219409466	3	type3_color1_searchp
123.5552308559	1.4677992676220695	type2_color2_cuep
130.2887589931	3	type2_color2_searchp
134.3220419884	1.5848931924611136	type1_color4_cuep
139.8055078983	3	type1_color4_searchp
143.8387298584	1.2589254117941673	type1_color4_cuep
147.6388618946	3	type1_color4_searchp
151.672151804	1.1659144011798317	type1_color5_cuep
156.0056238174	3	type1_color5_searchp
160.0388529301	1.847849797422291	type3_color4_cuep
165.3723218441	3	type3_color4_searchp
169.5223138332	1.0797751623277096	type3_color1_cuep
174.9059979916	3	type3_color1_searchp
178.9390218258	1.3593563908785256	type2_color4_cuep
186.139236927	3	type2_color4_searchp
190.1724619865	1.4677992676220695	type3_color3_cuep
194.472784996	3	type3_color3_searchp
198.5059299469	1.0797751623277096	type2_color3_cuep
203.4727289677	3	type2_color3_searchp
207.5059537888	1.1659144011798317	type1_color3_cuep
212.956111908	3	type1_color3_searchp
216.9894528389	1.0	type2_color1_cuep
223.8395957947	3	type2_color1_searchp
227.8728599548	1.3593563908785256	type3_color3_cuep
233.1064789295	3	type3_color3_searchp
237.1396648884	1.847849797422291	type1_color2_cuep
242.1230139732	3	type1_color2_searchp
246.2229897976	1.2589254117941673	type1_color3_cuep
250.9564328194	3	type1_color3_searchp
254.9897458553	1.0	type2_color3_cuep
260.3065698147	3	type2_color3_searchp
264.3397388458	1.7113283041617808	type1_color2_cuep
268.8899228573	3	type1_color2_searchp
273.0065748692	1.9952623149688795	type2_color1_cuep
279.7900907993	3	type2_color1_searchp
283.8233590126	1.0	type2_color5_cuep
289.5735039711	3	type2_color5_searchp
