onset	duration	event_type
1.1199240685	1.1659144011798317	type1_color3_cuep
5.4200470448	3	type1_color3_searchp
9.4533319473	1.847849797422291	type2_color1_cuep
15.1534869671	3	type2_color1_searchp
19.1867349148	1.4677992676220695	type2_color5_cuep
23.203537941	3	type2_color5_searchp
27.2368121147	1.9952623149688795	type1_color1_cuep
35.086977005	3	type1_color1_searchp
39.120292902	1.7113283041617808	type3_color3_cuep
43.3703699112	3	type3_color3_searchp
47.4036440849	1.0	type2_color4_cuep
54.9037640095	3	type2_color4_searchp
58.9371409416	1.3593563908785256	type1_color5_cuep
65.5538990498	3	type1_color5_searchp
69.5871388912	1.3593563908785256	type3_color5_cuep
78.6039209366	3	type3_color5_searchp
82.6371870041	1.4677992676220695	type3_color4_cuep
89.9540660381	3	type3_color4_searchp
94.0040009022	1.4677992676220695	type1_color2_cuep
100.4541549683	3	type1_color2_searchp
104.5040860176	1.2589254117941673	type1_color3_cuep
108.8876891136	3	type1_color3_searchp
112.9375030994	1.0	type2_color4_cuep
117.7876389027	3	type2_color4_searchp
121.8208940029	1.847849797422291	type3_color1_cuep
128.4210510254	3	type3_color1_searchp
132.4543170929	1.847849797422291	type1_color4_cuep
139.5711300373	3	type1_color4_searchp
143.6044130325	1.7113283041617808	type3_color4_cuep
148.1380169392	3	type3_color4_searchp
152.1711480618	1.0797751623277096	type1_color2_cuep
158.3212850094	3	type1_color2_searchp
162.3545620441	1.3593563908785256	type2_color1_cuep
166.8380060196	3	type2_color1_searchp
170.8712251186	1.1659144011798317	type1_color4_cuep
177.3047780991	3	type1_color4_searchp
181.3380510807	1.5848931924611136	type1_color1_cuep
188.37154603	3	type1_color1_searchp
192.4214560986	1.5848931924611136	type1_color5_cuep
200.5049591064	3	type1_color5_searchp
204.5381948948	1.1659144011798317	type3_color2_cuep
209.5549790859	3	type3_color2_searchp
213.6716270447	1.7113283041617808	type2_color3_cuep
221.2219369411	3	type2_color3_searchp
225.2550580502	1.2589254117941673	type3_color2_cuep
234.3718929291	3	type3_color2_searchp
238.4051539898	1.2589254117941673	type2_color5_cuep
243.9385900497	3	type2_color5_searchp
247.971873045	1.9952623149688795	type3_color3_cuep
253.4554998875	3	type3_color3_searchp
257.4886488914	1.0797751623277096	type2_color2_cuep
266.1222081184	3	type2_color2_searchp
270.1553618908	1.5848931924611136	type3_color5_cuep
274.572191	3	type3_color5_searchp
278.6055541039	1.9952623149688795	type2_color3_cuep
284.0722920895	3	type2_color3_searchp
288.1055550575	1.0797751623277096	type3_color1_cuep
293.9890429974	3	type3_color1_searchp
298.0222320557	1.0	type2_color2_cuep
304.0890979767	3	type2_color2_searchp
