onset	duration	event_type
1.5270028114	1.0797751623277096	type1_color1_cuep
5.1607680321	3	type1_color1_searchp
9.1937170029	1.2589254117941673	type2_color1_cuep
16.9438660145	3	type2_color1_searchp
21.0771229267	1.3593563908785256	type1_color5_cuep
27.1772630215	3	type1_color5_searchp
31.2105648518	1.3593563908785256	type1_color3_cuep
36.8273749352	3	type1_color3_searchp
40.8606200218	1.9952623149688795	type3_color4_cuep
45.4108948708	3	type3_color4_searchp
49.5439629555	1.1659144011798317	type3_color4_cuep
58.5775418282	3	type3_color4_searchp
62.6108310223	1.4677992676220695	type1_color4_cuep
71.394261837	3	type1_color4_searchp
75.5108649731	1.2589254117941673	type3_color3_cuep
82.0276808739	3	type3_color3_searchp
86.0609419346	1.7113283041617808	type2_color2_cuep
94.2611098289	3	type2_color2_searchp
98.3943660259	1.0797751623277096	type2_color3_cuep
103.327767849	3	type2_color3_searchp
107.3611118793	1.4677992676220695	type2_color5_cuep
112.7779328823	3	type2_color5_searchp
116.8111898899	1.847849797422291	type3_color1_cuep
125.1612718105	3	type3_color1_searchp
129.2779119015	1.1659144011798317	type2_color4_cuep
135.1947219372	3	type2_color4_searchp
139.228014946	1.3593563908785256	type2_color2_cuep
146.9781169891	3	type2_color2_searchp
151.0114400387	1.847849797422291	type2_color5_cuep
157.6115608215	3	type2_color5_searchp
161.6447789669	1.0797751623277096	type3_color5_cuep
165.5616939068	3	type3_color5_searchp
169.6782310009	1.0	type2_color1_cuep
173.5117089748	3	type2_color1_searchp
177.5449898243	1.5848931924611136	type2_color3_cuep
184.8118059635	3	type2_color3_searchp
188.845058918	1.7113283041617808	type1_color1_cuep
195.8118889332	3	type1_color1_searchp
199.8452219963	1.1659144011798317	type1_color2_cuep
205.5452878475	3	type1_color2_searchp
209.6618700027	1.2589254117941673	type2_color4_cuep
216.1786389351	3	type2_color4_searchp
220.2119560242	1.0	type1_color2_cuep
224.6786518097	3	type1_color2_searchp
228.7620029449	1.9952623149688795	type3_color5_cuep
237.8123159409	3	type3_color5_searchp
241.8454549313	1.847849797422291	type3_color2_cuep
247.9788570404	3	type3_color2_searchp
252.0122048855	1.9952623149688795	type1_color5_cuep
259.1956880093	3	type1_color5_searchp
263.3122599125	1.4677992676220695	type3_color3_cuep
267.3290839195	3	type3_color3_searchp
271.3624389172	1.0	type1_color4_cuep
278.2124400139	3	type1_color4_searchp
282.312443018	1.7113283041617808	type1_color3_cuep
287.8625438213	3	type1_color3_searchp
291.8958590031	1.5848931924611136	type3_color1_cuep
299.862664938	3	type3_color1_searchp
303.8959298134	1.5848931924611136	type3_color2_cuep
311.3293018341	3	type3_color2_searchp
