onset	duration	event_type
1.4162709713	1.5848931924611136	type1_color5_cuep
8.8496980667	3	type1_color5_searchp
12.9329800606	1.4677992676220695	type3_color5_cuep
19.6664960384	3	type3_color5_searchp
23.6996970177	1.7113283041617808	type1_color1_cuep
31.8998789787	3	type1_color1_searchp
35.9331541061	1.2589254117941673	type1_color1_cuep
40.0333151817	3	type1_color1_searchp
44.066683054	1.1659144011798317	type3_color1_cuep
50.0167300701	3	type3_color1_searchp
54.0500710011	1.0797751623277096	type2_color2_cuep
59.400177002	3	type2_color2_searchp
63.4334020615	1.4677992676220695	type1_color2_cuep
68.3835170269	3	type1_color2_searchp
72.4166691303	1.7113283041617808	type3_color1_cuep
76.6668951511	3	type3_color1_searchp
80.73351717	1.2589254117941673	type1_color3_cuep
84.5336561203	3	type1_color3_searchp
88.5669970512	1.847849797422291	type3_color4_cuep
93.9003989697	3	type3_color4_searchp
97.9336640835	1.3593563908785256	type1_color4_cuep
101.8918890953	3	type1_color4_searchp
105.9670469761	1.0797751623277096	type2_color4_cuep
110.2171401978	3	type2_color4_searchp
114.2504401207	1.3593563908785256	type3_color3_cuep
121.4838871956	3	type3_color3_searchp
125.517193079	1.7113283041617808	type3_color4_cuep
132.4840250015	3	type3_color4_searchp
136.5173041821	1.5848931924611136	type2_color5_cuep
142.867454052	3	type2_color5_searchp
146.9673900604	1.0797751623277096	type2_color3_cuep
152.8009011745	3	type2_color3_searchp
156.8340811729	1.9952623149688795	type1_color5_cuep
162.7176179886	3	type1_color5_searchp
166.7509579659	1.9952623149688795	type2_color1_cuep
174.0177650452	3	type2_color1_searchp
178.050894022	1.1659144011798317	type1_color4_cuep
183.1010260582	3	type1_color4_searchp
187.1343259811	1.0	type2_color4_cuep
191.2677659988	3	type2_color4_searchp
195.3011090755	1.1659144011798317	type2_color1_cuep
202.3344621658	3	type2_color1_searchp
206.3677511215	1.0	type3_color2_cuep
210.8511841297	3	type3_color2_searchp
214.8845791817	1.2589254117941673	type1_color2_cuep
219.9848690033	3	type1_color2_searchp
224.0179810524	1.9952623149688795	type2_color3_cuep
230.3014981747	3	type2_color3_searchp
234.4014031887	1.5848931924611136	type3_color2_cuep
238.8181591034	3	type3_color2_searchp
242.8514771461	1.847849797422291	type1_color3_cuep
251.2016601563	3	type1_color3_searchp
255.3015081882	1.847849797422291	type3_color3_cuep
261.4517221451	3	type3_color3_searchp
265.4849250317	1.0	type2_color5_cuep
269.6184170246	3	type2_color5_searchp
273.6516611576	1.4677992676220695	type2_color2_cuep
277.9519171715	3	type2_color2_searchp
281.9851121902	1.3593563908785256	type3_color5_cuep
289.8352870941	3	type3_color5_searchp
