onset	duration	event_type
1.1372468472	1.9952623149688795	type2_color5_cuep
7.4208469391	3	type2_color5_searchp
11.4540638924	1.7113283041617808	type2_color3_cuep
19.0041909218	3	type2_color3_searchp
23.037498951	1.1659144011798317	type1_color1_cuep
29.4709649086	3	type1_color1_searchp
33.5042350292	1.847849797422291	type1_color5_cuep
38.2043299675	3	type1_color5_searchp
42.237637043	1.4677992676220695	type2_color2_cuep
48.0210859776	3	type2_color2_searchp
52.0543529987	1.2589254117941673	type1_color4_cuep
57.1878330708	3	type1_color4_searchp
61.2211010456	1.3593563908785256	type2_color5_cuep
68.4212009907	3	type2_color5_searchp
72.4545140266	1.0797751623277096	type3_color4_cuep
77.4214758873	3	type3_color4_searchp
81.4545860291	1.7113283041617808	type1_color3_cuep
89.688092947	3	type1_color3_searchp
93.7213559151	1.5848931924611136	type3_color2_cuep
98.7881610394	3	type3_color2_searchp
102.8214280605	1.5848931924611136	type3_color3_cuep
107.5381710529	3	type3_color3_searchp
111.5714919567	1.3593563908785256	type1_color3_cuep
118.1882309914	3	type1_color3_searchp
122.2215659618	1.0797751623277096	type3_color1_cuep
126.7883028984	3	type3_color1_searchp
130.8215739727	1.7113283041617808	type2_color4_cuep
137.78865695	3	type2_color4_searchp
141.8217110634	1.9952623149688795	type1_color5_cuep
149.6718828678	3	type1_color5_searchp
153.7051389217	1.2589254117941673	type1_color4_cuep
157.771903038	3	type1_color4_searchp
161.8052148819	1.0	type3_color2_cuep
166.3053488731	3	type3_color2_searchp
170.3386030197	1.2589254117941673	type3_color3_cuep
174.1387269497	3	type3_color3_searchp
178.1720380783	1.0	type2_color1_cuep
183.9554190636	3	type2_color1_searchp
187.9887888432	1.4677992676220695	type3_color4_cuep
193.7723360062	3	type3_color4_searchp
197.8054740429	1.0	type1_color2_cuep
202.6554899216	3	type1_color2_searchp
206.6888048649	1.847849797422291	type2_color1_cuep
211.0890128613	3	type2_color1_searchp
215.1222748756	1.4677992676220695	type3_color5_cuep
219.4058358669	3	type3_color5_searchp
223.4389560223	1.847849797422291	type2_color4_cuep
228.4391088486	3	type2_color4_searchp
232.4724190235	1.5848931924611136	type1_color1_cuep
240.5558679104	3	type1_color1_searchp
244.6558258533	1.1659144011798317	type2_color2_cuep
248.3726358414	3	type2_color2_searchp
252.4059288502	1.3593563908785256	type1_color2_cuep
258.5061240196	3	type1_color2_searchp
262.5892789364	1.9952623149688795	type2_color3_cuep
267.7227699757	3	type2_color3_searchp
271.7560679913	1.0797751623277096	type3_color5_cuep
277.5896298885	3	type3_color5_searchp
281.6228680611	1.1659144011798317	type3_color1_cuep
289.2896440029	3	type3_color1_searchp
