onset	duration	event_type
1.0350699425	1.0797751623277096	type1_color2_cuep
6.8520309925	3	type1_color2_searchp
10.8853259087	1.0797751623277096	type1_color5_cuep
17.2354960442	3	type1_color5_searchp
21.2686319351	1.4677992676220695	type3_color2_cuep
27.0189208984	3	type3_color2_searchp
31.0521390438	1.0	type2_color5_cuep
36.3355200291	3	type2_color5_searchp
40.3687899113	1.7113283041617808	type1_color5_cuep
46.3354640007	3	type1_color5_searchp
50.3854498863	1.847849797422291	type3_color5_cuep
58.0856919289	3	type3_color5_searchp
62.1190299988	1.847849797422291	type1_color2_cuep
68.9191229343	3	type1_color2_searchp
73.0523469448	1.3593563908785256	type2_color2_cuep
80.902451992	3	type2_color2_searchp
84.9357888699	1.1659144011798317	type1_color3_cuep
91.9525358677	3	type1_color3_searchp
96.069190979	1.9952623149688795	type2_color5_cuep
101.2026460171	3	type2_color5_searchp
105.2360229492	1.0	type1_color1_cuep
108.7860648632	3	type1_color1_searchp
112.8194410801	1.0797751623277096	type3_color3_cuep
117.3694169521	3	type3_color3_searchp
121.4693639278	1.5848931924611136	type2_color3_cuep
129.3030719757	3	type2_color3_searchp
133.3361320496	1.847849797422291	type1_color4_cuep
138.3195700645	3	type1_color4_searchp
142.3528370857	1.4677992676220695	type3_color1_cuep
150.7864210606	3	type3_color1_searchp
154.8197438717	1.5848931924611136	type3_color4_cuep
161.1531779766	3	type3_color4_searchp
165.1864309311	1.1659144011798317	type3_color5_cuep
170.2032389641	3	type3_color5_searchp
174.2365009785	1.7113283041617808	type1_color1_cuep
178.4865710735	3	type1_color1_searchp
182.519906044	1.9952623149688795	type2_color1_cuep
189.7866580486	3	type2_color1_searchp
193.8699350357	1.4677992676220695	type2_color4_cuep
200.4534459114	3	type2_color4_searchp
204.4866878986	1.3593563908785256	type3_color4_cuep
209.770170927	3	type3_color4_searchp
213.8034300804	1.9952623149688795	type1_color4_cuep
222.186975956	3	type1_color4_searchp
226.2202219963	1.2589254117941673	type1_color3_cuep
235.9370858669	3	type1_color3_searchp
239.9704329968	1.0	type2_color4_cuep
245.3209309578	3	type2_color4_searchp
249.4370748997	1.3593563908785256	type3_color1_cuep
257.2872068882	3	type3_color1_searchp
261.3205058575	1.2589254117941673	type3_color3_cuep
265.7039380074	3	type3_color3_searchp
269.7372059822	1.5848931924611136	type2_color2_cuep
274.1544749737	3	type2_color2_searchp
278.2372999191	1.2589254117941673	type2_color1_cuep
284.7542788982	3	type2_color1_searchp
288.7874228954	1.1659144011798317	type3_color2_cuep
296.2875509262	3	type3_color2_searchp
300.3207960129	1.7113283041617808	type2_color3_cuep
305.8711340427	3	type2_color3_searchp
