onset	duration	event_type
1.0493619442	1.0797751623277096	type2_color3_cuep
6.4328210354	3	type2_color3_searchp
10.4661159515	1.5848931924611136	type2_color2_cuep
17.316229105	3	type2_color2_searchp
21.7828359604	1.0	type1_color5_cuep
27.5330960751	3	type1_color5_searchp
31.5828330517	1.4677992676220695	type2_color3_cuep
38.3163850307	3	type2_color3_searchp
42.3497080803	1.1659144011798317	type1_color1_cuep
46.9997870922	3	type1_color1_searchp
51.0331349373	1.2589254117941673	type2_color1_cuep
58.7831690311	3	type2_color1_searchp
62.8331520557	1.847849797422291	type3_color1_cuep
71.1832940578	3	type3_color1_searchp
75.2331829071	1.0797751623277096	type1_color3_cuep
81.5833070278	3	type1_color3_searchp
85.6999719143	1.7113283041617808	type2_color4_cuep
93.9001259804	3	type2_color4_searchp
97.933396101	1.4677992676220695	type3_color2_cuep
102.5335199833	3	type3_color2_searchp
106.5834610462	1.1659144011798317	type1_color3_cuep
110.9168739319	3	type1_color3_searchp
114.9835820198	1.0	type2_color2_cuep
120.7336359024	3	type2_color2_searchp
124.7669489384	1.1659144011798317	type1_color2_cuep
128.5002679825	3	type1_color2_searchp
132.5336890221	1.4677992676220695	type3_color5_cuep
136.850440979	3	type3_color5_searchp
140.883797884	1.9952623149688795	type2_color4_cuep
146.7337589264	3	type2_color4_searchp
150.8671069145	1.3593563908785256	type1_color2_cuep
156.5007400513	3	type1_color2_searchp
160.5338599682	1.2589254117941673	type3_color3_cuep
165.6673259735	3	type3_color3_searchp
169.7005898952	1.847849797422291	type3_color5_cuep
174.3841280937	3	type3_color5_searchp
178.484005928	1.9952623149688795	type2_color5_cuep
183.0508210659	3	type2_color5_searchp
187.1839849949	1.7113283041617808	type1_color1_cuep
194.734210968	3	type1_color1_searchp
198.7841448784	1.7113283041617808	type3_color2_cuep
206.3345110416	3	type3_color2_searchp
210.3842918873	1.0797751623277096	type2_color5_cuep
214.9676799774	3	type2_color5_searchp
219.0010380745	1.0	type1_color5_cuep
224.7511029243	3	type1_color5_searchp
228.7842469215	1.3593563908785256	type3_color3_cuep
234.4176959991	3	type3_color3_searchp
238.5511040688	1.5848931924611136	type3_color1_cuep
243.9845519066	3	type3_color1_searchp
248.0344319344	1.5848931924611136	type3_color4_cuep
252.4679648876	3	type3_color4_searchp
256.5012979507	1.3593563908785256	type1_color4_cuep
260.4013249874	3	type1_color4_searchp
264.4346339703	1.9952623149688795	type2_color1_cuep
269.9180910587	3	type2_color1_searchp
274.0846250057	1.847849797422291	type1_color4_cuep
279.0849609375	3	type1_color4_searchp
283.1348929405	1.2589254117941673	type3_color4_cuep
290.234924078	3	type3_color4_searchp
